dataset,method,metric,epoch,mean,min,max,n_seeds
checkerboard,randomKTA,test_accuracy,82.0,0.9,0.9,0.9,5
checkerboard,randomKTA,test_accuracy,83.0,0.9,0.9,0.9,5
checkerboard,randomKTA,test_accuracy,84.0,0.9,0.9,0.9,5
checkerboard,randomKTA,test_accuracy,85.0,0.9,0.9,0.9,5
checkerboard,randomKTA,test_accuracy,86.0,0.9,0.9,0.9,5
checkerboard,randomKTA,test_accuracy,87.0,0.9,0.9,0.9,5
checkerboard,randomKTA,test_accuracy,88.0,0.9,0.9,0.9,5
checkerboard,randomKTA,test_accuracy,89.0,0.9,0.9,0.9,5
checkerboard,randomKTA,test_accuracy,90.0,0.9,0.9,0.9,5
checkerboard,randomKTA,test_accuracy,91.0,0.9,0.9,0.9,5
checkerboard,randomKTA,test_accuracy,92.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,5
checkerboard,randomKTA,test_accuracy,93.0,0.9666666666666666,0.9666666666666667,0.9666666666666667,5
checkerboard,randomKTA,test_accuracy,94.0,0.9666666666666666,0.9666666666666667,0.9666666666666667,5
checkerboard,randomKTA,test_accuracy,95.0,1.0,1.0,1.0,5
checkerboard,randomKTA,test_accuracy,96.0,1.0,1.0,1.0,5
checkerboard,randomKTA,test_accuracy,97.0,1.0,1.0,1.0,5
checkerboard,randomKTA,test_accuracy,98.0,1.0,1.0,1.0,5
checkerboard,randomKTA,test_accuracy,99.0,1.0,1.0,1.0,5
checkerboard,randomKTA,test_accuracy,100.0,1.0,1.0,1.0,5
checkerboard,quackKTA,test_accuracy,1.0,0.4333333333333334,0.43333333333333335,0.43333333333333335,5
checkerboard,quackKTA,test_accuracy,1.0,0.4333333333333334,0.43333333333333335,0.43333333333333335,5
checkerboard,quackKTA,test_accuracy,1.0,0.4666666666666667,0.4666666666666667,0.4666666666666667,5
checkerboard,quackKTA,test_accuracy,1.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,1.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,1.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,1.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,1.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,1.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,1.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,1.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,2.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,2.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,2.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,2.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,2.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,2.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,2.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,2.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,2.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,2.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,3.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,3.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,3.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,3.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,3.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,3.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,3.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,3.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,3.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,3.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,4.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,4.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,4.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,4.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,4.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,4.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,4.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,4.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,4.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,4.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,5.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,5.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,5.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,5.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,5.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,5.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,5.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,5.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,5.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,5.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,6.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,6.0,0.5,0.5,0.5,5
