method,dataset,centroids,num_iterations,initial_training_accuracy,final_training_accuracy,initial_testing_accuracy,final_testing_accuracy,f1_score,precision,recall,training_time,circuit_executions,initial_kernel_alignment,final_kernel_alignment
greedyKTA,corners,8.0,60,0.95,0.99,0.83,0.93,0.9299929992999301,0.9305722288915566,0.9310897435897436,33.809617875000185,1287122,0.19606539607048035,0.20543748140335083
greedyKTA,corners,10.0,60,0.95,0.95,0.83,0.9,0.8998397435897436,0.9082792207792207,0.9030448717948718,33.310878291000336,1287160,0.19606539607048035,0.22055374085903168
fullKTA,corners,,70,0.95,0.99,0.83,0.96,0.959983993597439,0.96,0.9607371794871795,37.80928850000055,1432150,0.19606539607048035,0.4741015136241913
randomKTA,corners,2.0,70,0.95,0.89,0.83,0.75,0.7457023700539112,0.7813186813186813,0.7564102564102564,27.862664291999863,1422056,0.19606539607048035,0.1794186383485794
randomKTA,corners,4.0,70,0.95,0.99,0.83,0.9,0.8999599839935974,0.9,0.9006410256410255,28.168438458999844,1422070,0.19606539607048035,0.25656595826148987
randomKTA,corners,6.0,70,0.95,0.99,0.83,0.92,0.9197109594540345,0.9210950080515299,0.9190705128205128,28.864925834000132,1422092,0.19606539607048035,0.33753085136413574
randomKTA,corners,8.0,70,0.95,1.0,0.83,0.96,0.959983993597439,0.96,0.9607371794871795,29.446593041000597,1422122,0.19606539607048035,0.32572492957115173
randomKTA,corners,10.0,70,0.95,1.0,0.83,0.96,0.9599358974358975,0.9599358974358975,0.9599358974358975,29.978671374999976,1422160,0.19606539607048035,0.362790048122406
quackKTA,corners,2.0,70,0.95,0.98,0.83,0.92,0.9199679871948779,0.9243156199677939,0.922275641025641,219.03076945799967,15654100,0.1977996677160263,0.3035995066165924
quackKTA,corners,4.0,70,0.95,0.98,0.83,0.92,0.9199679871948779,0.9243156199677939,0.922275641025641,203.34303949999958,15654100,0.1977996677160263,0.3035995066165924
