method,dataset,centroids,num_iterations,initial_training_accuracy,final_training_accuracy,initial_testing_accuracy,final_testing_accuracy,f1_score,precision,recall,training_time,circuit_executions,initial_kernel_alignment,final_kernel_alignment
randomKTA,donuts,2.0,20,0.8833333333333333,0.9,0.8833333333333333,0.8333333333333334,0.8331479421579533,0.8383838383838383,0.8353726362625139,15.576356334000025,150636,0.11800495535135269,0.12297819554805756
randomKTA,donuts,4.0,20,0.8833333333333333,1.0,0.8833333333333333,0.8333333333333334,0.8333333333333334,0.8342602892102335,0.8342602892102335,16.91267229099992,150650,0.11800495535135269,0.15899646282196045
randomKTA,donuts,6.0,20,0.8833333333333333,0.95,0.8833333333333333,0.85,0.8499583217560434,0.8526785714285714,0.8515016685205784,15.792035750000082,150672,0.11800495535135269,0.17213502526283264
randomKTA,donuts,8.0,20,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.85,0.849624060150376,0.8585972850678734,0.8526140155728588,16.67979758299998,150702,0.11800495535135269,0.18749581277370453
randomKTA,donuts,10.0,20,0.8833333333333333,0.9666666666666667,0.8833333333333333,0.8833333333333333,0.883300916921367,0.8833333333333333,0.8837597330367075,17.764611083999966,150740,0.11800495535135269,0.19060833752155304
quackKTA,donuts,2.0,20,0.8833333333333333,0.9,0.8833333333333333,0.8333333333333334,0.8325892857142857,0.835016835016835,0.832035595105673,51.16813049999996,1633260,0.1174861267209053,0.16674737632274628
quackKTA,donuts,4.0,20,0.8833333333333333,0.9,0.8833333333333333,0.8333333333333334,0.8325892857142857,0.835016835016835,0.832035595105673,51.221894791999944,1633260,0.1174861267209053,0.16674737632274628
quackKTA,donuts,6.0,20,0.8833333333333333,0.9,0.8833333333333333,0.8333333333333334,0.8325892857142857,0.835016835016835,0.832035595105673,50.33987441699992,1633260,0.1174861267209053,0.16674737632274628
quackKTA,donuts,8.0,20,0.8833333333333333,0.9,0.8833333333333333,0.8333333333333334,0.8325892857142857,0.835016835016835,0.832035595105673,49.96671466600003,1633260,0.1174861267209053,0.16674737632274628
quackKTA,donuts,10.0,20,0.8833333333333333,0.9,0.8833333333333333,0.8333333333333334,0.8325892857142857,0.835016835016835,0.832035595105673,51.769807916000104,1633260,0.1174861267209053,0.16674737632274628
